vacancy_name,vacancy_link,company_name,salary_min,salary_max,salary_currency
Junior Data Analyst BI,https://novosibirsk.hh.ru/vacancy/47708671?from=vacancy_search_list&query=Python%20Junior,Ridex GmbH,,,
Junior программист (Python),https://novosibirsk.hh.ru/vacancy/48542544?from=vacancy_search_list&query=Python%20Junior,ЭР-Телеком,55000.0,55000.0,руб.
Junior программист на Go в блокчейне (Big Data),https://novosibirsk.hh.ru/vacancy/48067455?from=vacancy_search_list&query=Python%20Junior,Token Echo,50000.0,70000.0,руб.
Junior Data Scientist (специалист по анализу данных),https://novosibirsk.hh.ru/vacancy/47891091?from=vacancy_search_list&query=Python%20Junior,ООО Shortest Track,,,
Junior/Middle Golang Developer,https://novosibirsk.hh.ru/vacancy/45450494?from=vacancy_search_list&query=Python%20Junior,Productivity Inside,50000.0,200000.0,руб.
Junior Backend developer,https://novosibirsk.hh.ru/vacancy/47003869?from=vacancy_search_list&query=Python%20Junior,Productivity Inside,40000.0,60000.0,руб.
Junior/middle fullstack developer,https://novosibirsk.hh.ru/vacancy/47853823?from=vacancy_search_list&query=Python%20Junior,Productivity Inside,,100000.0,руб.
Junior C++ разработчик алгоритмов геометрического моделирования,https://novosibirsk.hh.ru/vacancy/48168276?from=vacancy_search_list&query=Python%20Junior,ЗАО Ледас,40000.0,70000.0,руб.
Junior Kernel Developer - KernelCare [Remote],https://novosibirsk.hh.ru/vacancy/45769402?from=vacancy_search_list&query=Python%20Junior,Cloud Linux,,,
Инженер-программист C/C++ (C/C++ Embedded Junior/Middle Developer),https://novosibirsk.hh.ru/vacancy/39292078?from=vacancy_search_list&query=Python%20Junior,ООО НПФ Гранч,,,
Programming teacher (Roblox),https://novosibirsk.hh.ru/vacancy/46197486?from=vacancy_search_list&query=Python%20Junior,IT школа Hello world,50000.0,,руб.
"Стажер / Джуниор-программист blockchain смарт-контрактов (solidity, nodeJs)",https://novosibirsk.hh.ru/vacancy/48383369?from=vacancy_search_list&query=Python%20Junior,Hotels.ru,,,
Junior-Разработчик С/C++,https://novosibirsk.hh.ru/vacancy/40167465?from=vacancy_search_list&query=Python%20Junior,ООО «Предприятие «ЭЛТЕКС»,,,
Frontend Developer (React),https://novosibirsk.hh.ru/vacancy/48319403?from=vacancy_search_list&query=Python%20Junior,ASW Systems,,,
Системный администратор Linux,https://novosibirsk.hh.ru/vacancy/48326169?from=vacancy_search_list&query=Python%20Junior,ICL Services,,,
DevOps–инженер (junior),https://novosibirsk.hh.ru/vacancy/48269030?from=vacancy_search_list&query=Python%20Junior,S7 IT,,,
Junior DevOps,https://novosibirsk.hh.ru/vacancy/48185064?from=vacancy_search_list&query=Python%20Junior,Playgendary,,,
Junior Product Analyst / Product Analyst,https://novosibirsk.hh.ru/vacancy/46433916?from=vacancy_search_list&query=Python%20Junior,LC Group,50000.0,100000.0,руб.
PHP-программист,https://novosibirsk.hh.ru/vacancy/48072235?from=vacancy_search_list&query=Python%20Junior,"People group, центр подбора и развития персонала",,200000.0,руб.
Junior Developer / Младший разработчик С#,https://novosibirsk.hh.ru/vacancy/48065036?from=vacancy_search_list&query=Python%20Junior,LAD labs Ltd,40000.0,60000.0,руб.
